PCON11CD,PCON11NM,Area Sq Km,Mid-2018,Mid-2017,Mid-2016,Mid-2015,Mid-2018 ,Mid-2017,Mid-2016,Mid-2015
E14000688,Ellesmere Port and Neston,120,"87,522","87,285","87,333","87,236",731,729,729,728
E14000689,Elmet and Rothwell,246,"100,122","100,292","100,541","100,274",407,408,409,408
E14000690,Eltham,22,"94,925","95,175","95,101","93,520","4,396","4,408","4,404","4,331"
E14000691,Enfield North,37,"110,213","109,930","109,376","107,675","2,957","2,949","2,935","2,889"
E14000692,"Enfield, Southgate",25,"103,313","102,509","102,148","101,939","4,102","4,070","4,056","4,048"
E14000693,Epping Forest,126,"100,618","100,102","99,482","99,077",797,793,788,785
E14000694,Epsom and Ewell,52,"110,540","109,981","109,317","108,618","2,136","2,126","2,113","2,099"
E14000695,Erewash,60,"97,354","97,103","96,837","96,398","1,621","1,617","1,613","1,605"
E14000696,Erith and Thamesmead,23,"121,867","121,265","120,360","119,514","5,225","5,199","5,160","5,124"
E14000697,Esher and Walton,79,"114,517","114,285","113,886","113,353","1,445","1,442","1,437","1,430"
E14000698,Exeter,38,"115,643","114,569","113,474","112,282","3,046","3,018","2,989","2,957"
E14000699,Fareham,63,"102,018","101,851","101,428","100,868","1,613","1,610","1,604","1,595"
E14000700,Faversham and Mid Kent,388,"99,649","97,954","96,898","95,782",257,252,250,247
E14000701,Feltham and Heston,30,"134,948","134,332","133,949","132,467","4,525","4,504","4,491","4,442"
E14000702,Filton and Bradley Stoke,81,"103,575","101,349","99,741","99,128","1,283","1,256","1,236","1,228"
E14000703,Finchley and Golders Green,21,"132,223","130,507","129,513","127,816","6,353","6,270","6,223","6,141"
E14000704,Folkestone and Hythe,434,"117,988","116,776","116,235","115,092",272,269,268,265
E14000705,Forest of Dean,584,"90,903","90,237","89,688","88,822",156,154,154,152
E14000706,Fylde,174,"85,748","84,814","84,127","83,527",493,488,484,480
E14000707,Gainsborough,"1,201","97,423","96,951","96,490","95,518",81,81,80,80
E14000708,Garston and Halewood,51,"99,596","99,510","99,427","99,127","1,953","1,951","1,949","1,943"
E14000709,Gateshead,25,"97,516","97,101","96,866","95,877","3,963","3,946","3,937","3,897"
E14000710,Gedling,38,"95,359","94,780","94,663","94,326","2,501","2,485","2,482","2,473"
E14000711,Gillingham and Rainham,30,"102,890","103,079","102,513","101,661","3,382","3,388","3,370","3,342"
E14000712,Gloucester,38,"119,941","119,713","118,951","117,659","3,180","3,174","3,154","3,119"
E14000713,Gosport,36,"99,604","99,877","99,882","99,071","2,740","2,748","2,748","2,725"
E14000714,Grantham and Stamford,686,"111,477","111,163","110,558","109,295",163,162,161,159
E14000715,Gravesham,99,"106,385","106,121","106,215","105,715","1,074","1,072","1,073","1,068"
E14000716,Great Grimsby,28,"88,565","88,500","88,640","88,701","3,155","3,153","3,158","3,160"
E14000717,Great Yarmouth,174,"99,370","99,417","98,992","98,615",570,570,567,565
